BOROUGH,PRICE,NAME,SERVICE,NUM_RATING,RATING,LOCATION,ATTRACTION,ACCOUNT_NUM
Queens,64,Flushing Ymca,Free WI-Fi;Swimming Pool;24-hour Front Desk;,69,3,Queens,null,0
Manhattan,72,Harlem YMCA,Free WI-Fi;24-hour Front Desk;Terrace;,223,3.5,Manhattan,2.7 km from Yankee Stadium,0
Brooklyn,74,NEW WORLD HOTEL,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,414,1.5,Brooklyn,0.5 km from SoHo Shopping District,0
Manhattan,86,Vanderbilt YMCA,Free WI-Fi;Swimming Pool;24-hour Front Desk;,1525,3.5,Manhattan,1.0 km from Fifth Avenue Shopping Street,0
Queens,95,Lexington Inn Queens,Free WI-Fi;Business Center;,260,3,Queens,null,0
Brooklyn,98,Canal Loft Hotel,Concierge Service;Luggage Storage;,null,null,Brooklyn,null,0
Queens,102,Kamway Lodge,Free WI-Fi;Family Rooms;Internet Services;,9,3,Queens,null,0
Queens,104,Flushing Hotel,,69,2.5,Queens,null,0
Brooklyn,107,Hostel - Chrystie Street,Free WI-Fi;Internet Services;Air Conditioning;,null,null,Brooklyn,0.5 km from SoHo Shopping District,0
Manhattan,108,Hotel 309,24-hour Front Desk;GardenPicnic Area;,492,3,Manhattan,2.4 km from Madame Tussauds Brooklyn,0
Queens,108,The Parc Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,281,4,Queens,null,0
Brooklyn,110,Grandview Hotel Brooklyn,Free Internet Services;Free WI-Fi;24-hour Front Desk;,17,3.5,Brooklyn,null,0
Queens,116,Flushing Central Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,168,3.5,Queens,null,0
Manhattan,118,Royal Park Hotel and Hostel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,727,3,Manhattan,2.3 km from Central Park,0
Queens,122,Days Inn by Wyndham Queens City,Free WI-Fi;24-hour Front Desk;Business Center;,609,3,Queens,null,0
Queens,122,Anchor Inn,Free Internet Services;Free WI-Fi;24-hour Front Desk;,35,3.5,Queens,null,0
Brooklyn,125,Kings Hotel,Free WI-Fi;24-hour Front Desk;Business Center;,127,3.5,Brooklyn,null,0
Brooklyn,129,Lefferts Gardens Residence Bed and Breakfast,Free Internet Services;Free WI-Fi;,35,3.5,Brooklyn,1.7 km from Brooklyn Botanic Garden,0
Queens,129,JFK Inn,Free Internet Services;Free WI-Fi;24-hour Front Desk;,445,2,Queens,null,0
Manhattan,130,Manhattan Broadway Budget Hotel,Free WI-Fi;24-hour Front Desk;Pets Allowed;,762,2.5,Manhattan,1.0 km from Madison Square Garden,0
Queens,131,Red Lion Inn & Suites Queens City,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,607,4,Queens,null,0
Queens,133,Master Bedroom Available in Astoria,Free WI-Fi;Internet Services;Air Conditioning;,null,null,Queens,null,0
Queens,133,Ramada by Wyndham Flushing Queens,Free WI-Fi;24-hour Front Desk;Picnic Area;,226,3.5,Queens,null,0
Queens,135,Radisson Hotel Queens,Free WI-Fi;24-hour Front Desk;Express Check-out;,1540,3.5,Queens,null,0
Brooklyn,138,The Andrew Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,239,3.5,Brooklyn,null,0
Brooklyn,139,Days Inn by Wyndham Brooklyn,Free WI-Fi;24-hour Front Desk;Business Center;,371,2.5,Brooklyn,null,0
Brooklyn,144,Studios in NYC,,null,null,Brooklyn,null,0
Queens,144,Airway Inn at LaGuardia,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,121,2.5,Queens,null,0
Manhattan,144,Amsterdam Court Hotel,24-hour Front Desk;Multilingual Staff;Restaurant;,3866,3.5,Manhattan,0.5 km from Times Square,0
Manhattan,147,Jazz on the Park Youth Hostel,Free WI-Fi;24-hour Front Desk;Terrace;,604,3.5,Manhattan,null,0
Manhattan,148,Hotel Pennsylvania,Free WI-Fi;24-hour Front Desk;Express Check-out;,8215,2.5,Manhattan,0.3 km from Madison Square Garden,0
Brooklyn,149,Windsor Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,277,2.5,Brooklyn,null,0
Manhattan,149,Hudson Brooklyn Central Park,Free WI-Fi;24-hour Front Desk;Restaurant;,7881,3,Manhattan,1.4 km from Times Square,0
Queens,150,Ramada by Wyndham Queens City,Free Internet Services;Free WI-Fi;24-hour Front Desk;,1091,3,Queens,4.7 km from Rockfeller Center,0
Queens,150,Wyndham Garden Queens City,Free WI-Fi;24-hour Front Desk;Express Check-out;,1226,4,Queens,null,0
Queens,151,LaGuardia Plaza Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1119,3.5,Queens,null,0
Manhattan,151,Opera House Hotel,24-hour Front Desk;Concierge Service;Luggage Storage;,721,4.5,Manhattan,2.5 km from Yankee Stadium,0
Queens,152,Comfort Inn & Suites LaGuardia Airport,Free Internet Services;Free WI-Fi;24-hour Front Desk;,174,3.5,Queens,null,0
Manhattan,153,Best Western Mill River Manor,Free WI-Fi;Pool; Umbrellas24-hour Front Desk;,744,4,Manhattan,null,0
Queens,155,Best Western Jamaica Inn,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,530,4,Queens,null,0
Central,155,The Paper Factory Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,865,4,Central,null,0
Queens,156,Marco LaGuardia Hotel,Free Internet Services;Free WI-Fi;24-hour Front Desk;,459,4.5,Queens,null,0
Queens,157,Corona Hotel Brooklyn - LaGuardia Airport,Free WI-Fi;24-hour Front Desk;Wheelchair Access;,87,3,Queens,1.2 km from National Tennis Center,0
Queens,159,Prince Flushing Hotel,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,92,3.5,Queens,null,0
Manhattan,161,Harlem 144 Guest House,,24,3.5,Manhattan,null,0
Queens,161,Howard Johnson by Wyndham Jamaica Queens NYC,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,789,3,Queens,null,0
Staten Island,167,Comfort Inn Staten Island,Free Internet Services;Free WI-Fi;24-hour Front Desk;,380,4,Staten Island,null,0
